28.11.2019;W
29.11.2019;W
30.11.2019;H
01.12.2019;H
02.12.2019;W
03.12.2019;W
04.12.2019;W
05.12.2019;W
06.12.2019;W
07.12.2019;H
08.12.2019;H
09.12.2019;W
10.12.2019;W
11.12.2019;W
12.12.2019;W
13.12.2019;W
14.12.2019;H
15.12.2019;H
16.12.2019;W
17.12.2019;W
18.12.2019;W
19.12.2019;W
20.12.2019;W
21.12.2019;H
22.12.2019;H
23.12.2019;W
24.12.2019;W
25.12.2019;W
26.12.2019;W
27.12.2019;W
28.12.2019;H
29.12.2019;H
30.12.2019;W
31.12.2019;S
